Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
lypd6		ube2c
tfec		nkl.1
naxe		sf3b5
ftr07		slirp
tmeff2b		wdr43
nup42		cirbpa
trit1		dek
wdr3		cyth1a.1
cald1b		zgc:174904
gtf3aa		irf2bp2b
rchy1		ube2v2
cobll1b		slc25a3b
lim2.2		skia
tax1bp1a		yrk
plk1		adgrg1.1
rai14		si:dkey-56m19.5
pbk		lysmd2
nob1		dus3l
haus7		arf6a
pard3ab		si:dkey-172h23.2
s100w		cyfip2
ruvbl2		capza1b
g2e3		dag1
dlgap5		si:ch211-226m16.2
kif23		id3
arhgap31		rbm4.2
adra2b		anxa1a
kank1a		fundc2
olah		fgd4b
tp53bp2a		cry3a
nbas		bin2b
im:6904045		senp2
ppp1r11		atp1a3a
rnaseh2a		cart3
fjx1		maf1
kif4		chchd10
si:dkey-78p8.1		atp6v0ca
trmt5		stoml3b
nudcd2		arpc5b
si:ch211-137i24.12		foxo3b
SYDE1		klf1
dnaja3b		il10ra
smco4		nr1d2a
cenpo		nat10
mrpl35		fam210aa
eif4eb		hgs
zgc:110626		ppp1cb
arpin		cttn
FP102192.1		kdm5bb
mrpl37		si:dkey-78l4.4
nsd2		sv2a
naprt		sltm
dtymk		cdk1
si:ch73-299h12.6		slc22a21
lig3		tnfaip8l2a
esco2		col5a1
bcat1		nocta
egr1		ms4a17a.10
anapc10		arpc4l
BX769173.1		zgc:194659
spc24		DAB2
rdh14a		oaz1b
BX544877.2		nrxn1a
gas1b		mast2
si:ch211-156j22.4		ctsla
ccdc137		MAF1
abitram		etnk1
rcc1l		hlfa
baiap2a		cks1b
scp2b		ube2d1b
si:ch211-213a13.2		si:dkey-33i11.9
mdc1		ubb
smc2		il6st
nsun5		hoxc11a
bmp8a		crebbpb
dtwd1		glo1
map7a		itgae.2
gal3st1a		arhgef3l
ormdl2		tgif1
txndc5		abhd4
spata5l1		anapc16
mis12		nlrc3
tacc3		tdh
si:ch73-375g18.1		prkacba
smad5		her6
birc5a		mpp1
p3h2		pmp22a
adhfe1		myca
nr2f5		tmem176l.3a
eva1ba		hif1al2
si:rp71-80o10.4		lck
knstrn		ptgdsb.2
rbms2b		FQ377660.1
haus4		tmsb1
nvl		arrb2b
noc3l		atp5fa1
sestd1		fkbp5
si:ch73-141c7.1		zyg11
dck		kdm7ab
ptcd3		appa
prr11		bxdc2
agtrap		tbc1d10c
elp2		rgs18
bckdha		foxj3
ncaph		fez1
fam219aa		setbp1
C1H3orf70		nr1d2b
cdk15		slc35f6
mgmt		stmn2a
dus2		fam49al
si:dkey-261m9.12		syt1a
gpr37b		ccdc50
tdp2b		zc3h11a
orc3		si:dkey-222f8.3
dvl3a		hsd17b10
arhgef28a		si:dkeyp-1h4.6
snu13a		tsc22d1
hmmr		cspg5a
spred2b		rrp12
tmem126a		plk2b
cratb		fybb
mmel1		rbm28
ddx10		cep350
zgc:173709		mbpb
snapc1b		gig2d
mocs2		clstn1
mtg2		maptb
pdik1l		myo18ab
zmp:0000000624		parm1
vars2		stxbp1a
hsph1		psmd13
them6		rab35b
pdgfrl		tpd52l2b
ints8		plk3
numa1		sept7a
hps1		bada
wdr55		zgc:110540
adh8b		hpse
fahd1		pbx1a
cenpt		klf2a
mrm3b		snu13b
amot		snrpd2
irgq1		u2af1
exosc10		gnao1a
cdca7a		sncb
exosc8		cct3
nup35		ndrg4
zgc:173587		zgc:77486.1
hist2h3c		mbnl1
C9H2orf49		si:ch211-136m16.8
agpat5		ddx61
amotl2a		prkcbb
osgep		bri3
samd1a		lrrc8da
CR847906.1		cxcr3.1.1
trmt2a		gnl3
rpp25l		kansl1a
tcea2		inka1a
cenpw		vdrb
cinp		cremb
spout1		dnmt3ab
trip10a		tgm2l
cyhr1		ano6
ankzf1		prkab1a
fth1b		tsc22d2
kyat3		mthfd2
knl1		cox7a1
oxnad1		blnk
pold3		col1a2
smtnl		cst3
fbxo5		n4bp1
si:dkey-93m18.4		wnk1b
rcn1		ginm1
exosc4		hivep1
vps52		dock4b
kank2		pik3cg
cst14a.1		per2
pygo2		nsun2
rasa1a		znf622
wdr4		pdpk1a
msto1		utp11
znf1156		slc37a2
riox1		orai1a
kxd1		hbae5
ttc4		slc25a43
immp2l		znrf1
ercc6l		timm8b
oip5		sh3gl3a
ckap2l		trim8b
cpsf1		rbm24a
si:dkey-225f5.4		cd82b
zgc:110782		tat
ryk		rad21a
si:dkey-10p5.10		npm3
nr2c2ap		si:dkey-260g12.1
meig1		psmd8
wrnip1		hoxd9a
gstt2		socs3b
rpusd4		slc16a10
dcbld1		si:ch211-271g18.1
oxsm		kmt2e
smarcc1b		psma4
AL954696.1		mcm2
cenpn		sparc
coro2ba		UBB
abcf3		sox4a.1
tmem198a		pbxip1b
psmd5		rnf44
kif15		mki67
wdr92		rhd
nup37		mpeg1.1
ndc80		pfkfb3
tdrd7b		lbr
cenps		mrpl53
polh		iqsec1b
cuedc2		rab5ab
lamc1		trpm1b
zgc:101716		zc4h2
tyw3		sypl2b
dhodh		dad1
sufu		tmc6b
coq5		rnf130
kif20bb		si:ch211-150o23.2
si:dkey-71l4.4		lasp1
si:dkey-185e18.7		epb41a
si:ch1073-170o4.1		pclaf
rab23		vamp2
pdf		ppa1b
hoxc13a		col1a1a
supv3l1		aldh9a1a.1
pola2		syngr3b
elp5		ms4a17c.1
zcchc9		arid4a
fam210ab		def6a
zmym4		kmt2ca
tpk2		srgap2
serpinh1b		dnase1l4.1
ece2a		basp1
eef1e1		zfhx4
nudt1		si:dkey-7i4.24
ccnb3		zgc:136605
mis18a		cd99l2
hoxa13b		rexo4
selenon		vim
polr1b		calm1b
rpp30		kif1aa
si:ch211-152c8.4		si:dkey-183p4.10
grinaa		havcr1
cyp2n13		rbm14b
suv39h1b		sec61a1l
katnb1		camk2n1a
xrcc5		chmp2a
dpcd		rab1ba
sp100.1		b2ml
FO744833.1		zgc:113208
tnksa		wsb1
prorp		rab5c
fuca1.2		LECT2
pitrm1		acp1
zgc:173552.7		ptena
MTERF4		mycb
thada		mdm2
lrrc8c		ncoa3
thoc6		hdac1
fam83hb		abcc5
si:ch211-113a14.24		si:ch211-214p13.9
arap3		larp6a
sfxn4		snrpb
bzw2		carmil2
chaf1b		mdka
zgc:86764		ecrg4a
hist1h4l.14		ap1s1
dusp11		cblb
ift57		ehd4
CABZ01061495.1		gpatch8
shcbp1		BX548028.1
agk		dgkza
mthfd1l		serpinb1l3
elp4		cd82a
ier2a		cytip
si:dkey-25o16.4		atf7ip
mus81		sort1b
orc6		arnt2
nkiras1		csrnp1b
bag3		snap25a
cc2d2a		hbbe1.2
hsd17b8		ero1b
dguok		si:zfos-943e10.1
		snx17
		mknk2a
		ubl3b
		csk
		ptpn1
		hdac9b
		leng8
		erbin
		mapk1
		tm9sf2
		aoc2
		cd9b
		CABZ01066694.1
		gpr184
		jak2a
		tal1
		gig2i
		iqgap1
		hmox1a
		abhd3
		atf4a
		rab11fip4b
		cdh2
		nupr1a
		tenm3
		sh3kbp1
		ppm1ab
		ddit4
		grasp
		brd4
		mafbb
		dlgap5
		olfm1b
		bcl2l1
		irf2bpl
		si:dkey-27h10.2
		si:dkey-42i9.4
		prdx3
		msrb3
		si:dkey-276j7.1
		epc1b
		DDX17
		glsb
		cdc14b
		s100v2
		spink2.1
		tpx2
		si:dkey-192g7.3
		gcsha
		efhd2
		mtpn
		si:dkey-68o6.5
		arrdc3a
		l2hgdh
		smad7
		tap2a
		si:ch211-200p22.4
		CT956002.2
		hectd1
		nsg2
		tfr1a
		eif4g2b
		tnfrsf1a
		plgrkt
		ppp4cb
		nat8l
		tuba2
		ehbp1l1b
		fbxw11b
		crfb4
		ccl39.1
		cadm4
		rrm2
		hivep3b
		faxdc2
		h2ax
		tubb5
		tradd
		tram1
		nbr1a
		sash3
		mepce
		hist1h4l.6
		G3BP2
		si:ch211-67e16.3
		arhgap45a
		nab1a
		parvg
		morc3a
		ccl34b.4
		lgmn
		themis
		krt4
		hmgn6
		mybbp1a
		plpp3
		si:ch211-132g1.1
		amd1
		nap1l4a
		rnf213a
		arid1b
		psme2
		lgals17
		mt-co3
		myo1f
		arf2a
		ank2b
		csnk1g2b
		cd27
		si:ch73-158p21.3
		bnip4
		inhbaa
		nuak1b
		ifi35
		rnf111
		ndfip1
		cers2b
		cldni
		lrba
		rab11fip3
		ube2al
		cdc42
		sypb
		zgc:66433
		eif4a1a
		col1a1b
		isg15
		cbl
		lypla2
		clgn
		peli1b
		igf2bp3
		map1aa
		tcp11l2
		slc25a36a
		ppifb
		pdk2b
		ppp1r12a
		zc3h15
		cox5ab
		mex3b
		fam49bb
		zmiz1a
		shc1
		n4bp2
		znf296
		ppfia3
		si:dkey-112e7.2
		rarres3
		zgc:194101
		si:ch211-225b11.1
		C7H16orf87
		cd8a
		ccna2
		smchd1
		prelid3b
		snx11
		prr14
		myt1a
		ccl34a.4
		fmnl3
		ppp1caa
		u2surp
		il10rb
		psmd7
		il2rga
		rbm38
		mapk14b
		mia2
		nedd9
		aldob
		cnppd1
		tppp
		ssr2
		CABZ01058261.1
		atl3
		ldhba
		ccnd2a
		epn2
		myb
		rrs1
		rsad2
		stx11a
		map4k6
		hpdb
		usp9
		RAPGEF2
		nt5dc2
		C7H4orf48
		si:ch211-191i18.2
		rpia
		RALGDS
		calr
		stk10
		khdrbs1b
		ywhaqa
		mycbp2
		ifitm1
		prkar1aa
		pde3b
		mllt11
		nt5c3a
		si:ch73-361p23.3
		serpinb1l1
		ctsd
		cry2
		dnajc5aa
		khnyn
		tent4b
		mrps35
		pik3r5
		si:dkey-102g19.3
		gsto2
		dipk2b
		nr4a1
		si:ch211-283g2.2
		ddc
		aurkb
		ppp1r10
		kctd12.2
		tomm20b
		f3b
		adrm1
		cxcl12a
		camk1db
		ccr2.1
		sat1b
		syt4
		baxb
		kmt2cb
		ist1
		stmn4
		id2a
		trib2
		dap1b
		hif1ab
		map2k6
		med10
		alox5b.3
		tuba1a
		si:ch211-191c10.1
		arl4ab
		dop1b
		adcy2b
		fbrs
		unc119b
		taok3a
		npc2
		gar1
		tuba8l
		prkd4
		papola
		syne1a
		shroom2a
		mark2b
		copb2
		ncf4
		hbae3
		stmn4l
		hbaa1
		pttg1ipb
		nuggc.3
		atp5md
		glula
		igf2bp2b
		ppp1r9ba
		pabpc1a
		polr2l
		ptgdsb.1
		sept7b
		elmsan1b
		sf1
		hbba2
		bmpr2a
		ncoa4
		cgas
		pclob
		akap13
		pum3
		atp6ap2
		bhmt
		FQ976914.1
		stxbp2
		cish
		CABZ01109481.1
		taf3
		crebrf
		brd2a
		lrp10
		tspan2a
		mrto4
		pbx3b
		gng2
		adss1
		cited4a
		add3a
		tmem176l.4
		egr3
		cmtm6
		ebf3a.1
		rrad
		si:dkey-5n18.1
		psph
		apc
		bach2b
		kctd4
		fli1b
		sh3bp1
		mapk6
		ftr06.1
		kmt2a
		znfl2a
		ptpn5
		arhgef1b
		rap1aa
		si:ch211-212g7.6
		exoc6
		rab43
		zgc:113314
		ctsf
		si:ch1073-392o20.2
		npl
		stx5a
		mt2
		srebf2
		scg2b
		anxa5b
		tpt1
		si:dkey-108k21.10
		sox4b
		slc3a2a
		zgc:175214
		epdl1
		rpl22
		cox4i1l
		col6a3
		gbp
		klhl24b
		ncf2
		tnikb
		camta1b
		stat1a
		utp4
		twist1a
		mnta
		soul5
		ponzr6
		snap25b
		ptenb
		stk17b
		si:ch211-284f22.3
		Mar-08
		arhgap15
		gpr55a
		kidins220b
		slc1a5
		acsl4b
		tomm7
		brd1b
		hnrnpua
		si:zfos-741a10.3
		ptprr
		tfdp2
		atxn1b
		znf827
		gap43
		pik3r3a
		mcmbp
		si:ch211-147a11.3
		si:dkey-21c1.1
		enpp1
		acin1b
		il13ra1
		icam3
		acsbg2
		kel
		casp8
		tpi1b
		itm2ca
		fkbp4
		lonrf1
		dusp7
		cks2
		si:zfos-464b6.2
		top2a
		dclk1a
		reep5
		lat
		tet2
		hdr
		zgc:92161
		polr2a
		tpm1
		ccnb1
		grapa
		MYO7B
		fnbp1l
		pcdh19
		u2af2b
		dgkaa
		zmp:0000001139
		bcam
		si:ch211-145c1.1
		zgc:153704
		abhd2a
		cdkn1a
		pcloa
		ank1a
		etf1b
		tspan7b
		sulf2b
		si:ch211-137a8.4
		pim3
		si:ch211-197g15.10
		cxxc5b
		slc6a22.2
		kat8
		nrn1a
		timp4.3
		hars
		wtap
		ogdha
		wdr3
		ccl19a.1
		tmem178b
		caspa
		med21
		aff2
		atrx
		atg9b
		anxa11b
		nop16
		qkia
		chd9
		si:dkey-11f4.20
		pam
		zgc:162698
		ap2a1
		top2b
		tatdn1
		yap1
		pdgfrb
		qdpra
		fam43a
		smarcd2
		cbx7a
		celf3a
		cpox
		si:ch211-197h24.9
		sash1b
		gata3
		si:dkey-56f14.7
		si:ch211-243a20.3
		rasgrp4
		bsg
		hgd
		gadd45ab
		mrps26
		pik3cd
		sbf1
		tnfb
		apoda.1
		pithd1
		crlf3
		tmem131
		ppp1r14ba
		si:ch211-132g1.3
		nccrp1
		fa2h
		adrb3a
		dyrk1ab
		cipcb
		foxd3
		eno2
		rabgap1l
		dclk1b
		ppp6r3
		rhogd
		srgap3
		usp32
		stag2b
		CR293511.1
		cenpf
		prex1
		edil3a
		fuca2
		rab6bb
		ddx1
		grk4
		ogt.1.1
		higd2a
		madd
		zgc:194627
		dut
		cd8b
		CR847543.1
		smc4
		rbm33a
		appb
		tmem59l
		akap12b
		tufm
		batf3
		clint1a
		txnrd3
		si:ch73-248e21.1
		tk2
		adgrl2a
		zgc:152774
		kifc1
		tprg1
		dusp2
		camk1b
		mvb12a
		denr
		slc7a8a
		bckdhbl
		plekha3
		rnaset2l
		adgrg3
		snx18a
		zmynd11
		gzm3.2
		stox2a
		ube2e1
		srsf6b
		il17ra1a
		pxna
		f11r.1
		npas4a
		cxcr4a
		BX323596.2
		si:ch211-262i1.3
		tpst1l
		uap1
		si:ch211-251b21.1
		cdk5r2a
		prrx1a
		nfatc3a
		myo1cb
		si:dkey-40g16.6
		nr1d1
		stxbp6
		ypel5
		scamp2
		map4l
		efhd1
		epn1
		nol12
		mapk8ip3
		myt1la
		slc9a3r1a
		rp2
		tbl1xr1a
		hbaa2
		cenpx
		prkcq
		ostf1
		sgip1a
		ehd1b
		map2
		galnt7
		cep85l
		eif2b3
		nexmifa
		si:ch73-269m14.2
		ralba
		ccl39.5
		got2b
		ppdpfa
		ybey
		lrp1aa
		isca1
		C2H7orf25
		gtf2b
		tmcc3
		stim1a
		sla1a
		gmds
		cd28
		cyb5a
		tnfaip8l2b
		si:ch211-160o17.2
		ppm1k
		rbp5
		dhrs13l1
		rpl7l1
		si:cabz01101003.1
		ptges3a
		uri1
		hoxc11b
		xpo7
		atp6v1g1
		scdb
		chchd2
		ep300b
		nupr1b
		cpe
		sox12
		sox11b
		gpnmb
		sik1
		ccl25b
		si:ch211-196c10.15
		nsa2
		coa7
		nsfl1c
		ciarta
		nsfa
		si:ch73-91k6.2
		tacc3
		cdc20
		samsn1b
		ppm1aa
		hnrnpd
		capns1b
		si:ch211-244b2.3
		pank2
		slc16a3
		phactr3b
		ptpn22
		wdr26b
		acadm
		ccl35.2
		gabpa
		dnajb6a
		abi3a
		C18H15orf48
		mob3a
		vcanb
		dhrs13a.3
		hist1h4l.10
		ftr67
		col5a2a
		zic3
		cxcr3.2
		dapp1
		eif3g
		nfixb
		fbxl3a
		myo9b
		ubl3a
		mef2cb
		tapbp.1
		map1ab
		asap1b
		si:dkey-85k15.4
		noc4l
		sec11a
		sinhcafl
		prdm1a
		snrnp40
		gnaia
		tmem256
		mmp14a
		si:busm1-57f23.1
		ENSDARG00000055383
		fgfr1op2
		si:ch73-264p11.1
		sh3bp5b
		zgc:194275
		si:ch211-132b12.7
		f3a
		BX004816.2
		plk1
		rnf13
		kars1
		taok2a
		crebbpa
		mapk12a
		golgb1
		rbfox1
		cers1
		clcn5b
		si:ch211-165i18.2
		znf593
		sema4aa
		spry4
		riok3
		zgc:123107
		stmn2b
		parp12b
		hsf2
		si:ch73-22o12.1
		sinhcaf
		BX323596.1
		sec61b
		aqp3a
		si:ch73-109i22.2
		rps6kal
		stat4
		cyp3c1
		idh1
		sc:d217
		mxd4
		pgam1a
		ece2b
		cul1b
		coa6
		oser1
		si:cabz01036022.1
		gzm3
		fthl29
		zgc:153733
		si:ch211-26b3.4
		aspm
		smc2
		tnfaip3
		zgc:194312
		trpv1
		srrm4
		luzp2
		klf13
		aff4
		pcmtd1
		tes
		aff3
		hhla2a.1
		ckap4
		gata1a
		man1a1
		slc7a7
		si:ch211-207n23.2
		cdca8
		slc43a3b
		dcaf13
		roraa
		znf609a
		crip2l
		spcs1
		eepd1
		ppib
		acp5b
		waplb
		si:ch1073-214b20.2
		ipmkb
		spen
		nfyba
		cox6a2
		camk2g1
		zmp:0000001161
		nfil3-5
		rrp36
		ino80
		usp44
		dhrs12
		cx43
		dkk3b
		sema4ab
		il2rgb
		chchd1
		rab32a
		cxcl20
		chmp1b
		C20H12orf57
		grk6
		myd88
		gad2
		cebpd
		chd2
		clstn3
		pepd
		cdkn1ba
		klf7a
		BX284638.2
		cfbl
		dazap1
		irf1b
		slc30a1a
		nipblb
		tnfrsf1b
		btk
		aurkaip1
		mknk1
		irf2a
		cox8b
		si:ch211-256m1.8
		waca
		lamtor4
		ecm1b
		ywhaba
		ncor1
		ttc36
		si:ch73-226l13.2
		si:ch73-285p12.4
		hsc70
		zfx
		psmg2
		ENSDARG00000071353
		usp14
		ccl39.2
		rag1
		utp23
		im:7151449
		trib1
		glulb
		ep300a
		rnasekb
		lcorl
		cdca4
		tmf1
		rell2
		sinhcafl.1
		si:ch211-1o7.3
		actn4
		prr12a
		ccl36.1
		vcp
		gsdmea
		swap70b
		zbtb18
		pus1
		rin3
		si:dkeyp-27c8.2
		dnase2
		ebf3a
		eif4ebp2
		smdt1b
		spock3
		SIPA1
		cdkn3
		tab2
		srrm2
		rnaseka
		tmem106ba
		btbd6a
		tnksb
		st3gal3a
		wbp1
		pik3c2b
		ccr9b
		arl6ip5b
		mdm4
		cdca5
		defbl1
		kras
		fbxl14a
		vhll
		bcl7bb
		tp53
		dock8
		zgc:122979
		sptssa
		cdk5rap2
		atpv0e2
		il6r
		kif11
		igic1s1
		furina
		plekhf1
		h2ax1
		hcfc1b
		ttyh3b
		sumo1
		ppid
		si:dkeyp-72g9.4
		plxnc1
		atp6v0cb
		tspy
		bsnb
		sowahd
		ckba
		cicb
		casp3a
		scin
		slc7a3b
		ube2h
		si:dkey-26c10.5
		zfand2a
		adam8a
		spcs2
		pcmt
		dock7
		mrps25
		rhof
		plcg2
		herpud2
		si:ch211-239j9.1
		faslg
		slc35g2a
		SGMS1
		hexa
		htra1b
		hnrnpub
		mmp2
		dennd5b
		fnbp1b.1
		ms4a17a.9
		cpne3
		ciartb
		srrm1
		hprt1
		mrpl23
		gnb3a
		guk1a
		pip5k1ba
		btr26
		arhgap4a
		elob.1
		nuggc.1
		si:ch211-139d20.3
		qars1
		rrp15
		prmt5
		alyref
		gigyf1b
		si:ch211-132g1.6
		cyth4a
		rit1
		cnot6l
		ywhag1
		snap91b
		nrip1b
		rab7a
		cox8a
		gapdhs
		myh9a
		pmp22b
		rgs5a
		gbp1
		nfasca
		CABZ01020840.1
		tmem189
		stox2b
		syt2a
		auts2a
		dicer1
		zbtb16a
		nt5e
		phospho2
		kbtbd8
		zyx
		prkcda
		gstm.2
		shrprbck1r
		exosc7
		zic2a
		ythdc1
		cfp
		adrb2a
		rock2b.1
		aplnrb
		lrpprc
		gstt1a
		egr2b
		pdia3
		BX897691.1
		znf219
		helz
		foxo3a
		mrps6
		wdr55
		jpt2
		cdh11
		gng10
		lsp1a
		hoxc10a
		tp53inp2
		gsr
		rtn4a
		zgc:92140
		sntb2
		purab
		eno3
		cc2d1b
		bcl6aa
		il34
		col6a2
		zgc:153426
		ada
		FO082781.1
		grn2
		birc5a
		zc3h4
		nrxn3a
		luzp1
		dpysl5a
		c1qtnf4
		hnrnpa1b
		grb10b
		elf2a
		CRACD
		wdr36
		bptf
		cyth4b
		gpr85
		slc6a1b
		fam207a
		tyk2
		elovl4a
		foxn2b
		apc2
		fam193a
		cnp
		igfbp5b
		gm2a
		slc32a1
		gmip
		sec61a1
		islr2
		ablim1b
		hebp2
		col6a1
		col12a1a
		ulk2
		cdc34a
		msx1b
		rapgef2
		zgc:154055
		nedd4a
		pet100
		plekha1a
		apex1
		ube2e2
		ssh2a
		hmbsb
		pcnp
		il4r.1
		vamp3
		si:ch211-194k22.8
		pacsin2
		zgc:194246
		atp2b4
		si:ch73-367j5.3
		nrarpa
		mrtfab
		nucb1
		tcirg1b
		gstm.1
		hapln1a
		atp6v0b
		soul3
		vps37c
		hivep3a
		vgf
		dock10
		notch3
		macf1a
		sp4
		lpar6b
		ssbp3a
		nucb2a
		arhgap4b
		prr12b
		lpin1
		ell2
		pik3ap1
		mllt10
		cad
		zgc:110339
		med13b
		PPP2CA
		clpxa
		zgc:153659
		galnt1
		ccdc186
		ndufb2
		rnf24
		lrrc15
		klf11a
		herc1
		tmem243b
		rnf40
		mplkip
		krt91
		smim13
		pbx4
		rabac1
		si:ch211-69g19.2
		il1fma
		atp6v1f
		col12a1b
		higd1a
		ctdsp2
		ralgps2
		ing3
		apoeb
		abca1b
		arhgap25
		st8sia6
		myclb
		kpna2
		efna1b
		dusp8a
		mtmr14
		nck1a
		otud5a
		bcl10
		glipr1a
		bbip1
		cxcl11.1
		fam214a
		nrros
		tax1bp1b
		hnrnpc
		tmem115
		pdgfra
		ndel1b
		stat3
		tspan33a
		ets1
		pcbp4
		cmah
		ssbp3b
		b3gnt3.4
		mfap3l
		cmtm3
		atp5pb
		itgae.1
		twist2
		atp1b1b
		h3f3c
		atp5mc3a
		CABZ01068358.1
		s1pr1
		fam107b
		naga
		fam76b
		nup50
		mrpl14
		rras2
		si:ch211-197g15.6.1
		hist1h4l.16
		ddx18
		slc6a22.1
		hint1
		tmeff1b
		mbnl3
		yy1a
		map1lc3b
		kpna3
		ehbp1l1a
		arpc1a
		brk1
		card11
		myl9b
		si:dkey-97a13.6
		si:dkey-118j18.2
		tbcelb
		ank3a
		atcaya
		slc12a7a
		tgfb1a
		si:dkey-9k7.3
		map7d2a
		tank
		cyp1a
		neurod1
		lrp1ab
		trappc1
		aspn
		cox5b2
		kdm4aa
		runx1t1
		timp2b
		ndufa4l
		elmod1
		atg13
		mlx
		ptbp2b
		ccl39.6
		fat1a
		edem1
		fzr1a
		sorl1
		srsf5b
		nbr1b
		rgs14a
		trappc3
		fstl3
		trmt5
		esyt2a
		glud1b
		osbpl3b
		morf4l1
		czib
		dyrk1b
		rab39bb
		usp2a
		exosc5
		slc35e1
		txn
		larp4ab
		si:ch211-163c2.2
		mab21l2
		snap91a
		srm
		kif5aa
		CABZ01081490.1
		si:dkey-261m9.12
		fut8a
		zgc:136870
		mych
		znhit3
		nfe2l1b
		znf706
		ahcyl1
		wls
		si:ch211-1a19.3
		dcn
		arhgap5
		mars1
		CABZ01046432.1
		CABZ01026681.1
		slc2a3a
		hnrnpa0a
		FAM83G
		rai1
		rab18a
		caly
		prkchb
		si:dkey-88j15.3
		sept9b
		creb5a
		FO704779.1
		fabp11a
		ago3b
		si:dkey-56i24.1
		rasa4
		spcs3
		dpysl3
		si:dkey-211g8.8
		kdm5c
		rps27l
		camk2b1
		oga
		CT583625.1
		ccdc137
		sh3gl2a
		aatf
		ifit11
		sirt1
		utp15
		med13a
		grinab
		si:dkey-40m6.8
		gsdmeb
		dus2
		ncoa2
		tbk1
		tollip
		dnase1l4.2
		mafa
		prickle1b
		trnau1apb
		st8sia5
		si:dkey-58f10.11
		irs2a
		klhl22
		apba2b
		lima1a
		igl1c3
		smc3
		si:ch211-150g13.3
		slc38a3a
		abhd12
		CABZ01078737.1
		bik
		gadd45aa
		TESK1
		igf2r
		agrn
		si:ch211-112c15.8
		ube2s
		ppm1bb
		numa1
		ypel3
		yaf2
		gpx3
		skilb
		atp6v1e1b
		psmc5
		arglu1a
		CT583625.5
		klf3
		atp2b3a
		pou2f2a
		eif3eb
		slc40a1
		elf2b
		aebp2
		si:ch211-212d10.1
		prpf8
		slmapb
		epsti1
		blf
		st8sia4
		ripor3
		utp25
		atp2b3b
		arhgef6
		spsb4b
		cast
		angptl4
		mrc1b
		degs1
		ccser2a
		gpx4b
		pitpnc1b
		arhgap29b
		elovl1b
		si:ch211-113a14.12
		camk2g2
		cct8
		jac9
		r3hdm1
		rnf128a
		usp42
		ppargc1b
		smyd2a
		brwd1
		rhpn2
		CAMK2N1
		atp1b2a
		rab4b
		adam23a
		zgc:152863
		cplx2
		fryb
		bcor
		slain2
		camk2d2
		atp5f1b
		scrt2
		sec23b
		csdc2a
		acadvl
		igl3v5
		mrpl54
		rtf2
		sncgb
		itpr3
		klf11b
		castor2
		slc44a1b
		ubxn1
		badb
		atp1a1a.1
		fam117ab
		dnajc5gb
		cdc26
		tent5c
		fn1a
		tomm6
		phf12a
		zgc:152891
		skp1
		cnrip1a
		raraa
		srsf10b
		dctn1b
		dnmbp
		ndufb8
		fasn
		aldh1a2
		si:ch1073-440b2.1
		myo1g
		trim35-14
		palld
		micos10
		zgc:56585
		rtn4b
		nrbf2b
		tap1
		setd1a
		dnajb1a
		snap23.1
		spc25
		gzm3.3
		jakmip2
		nub1
		si:ch211-114c12.2
		errfi1a
		znf536
		insm1a
		LO018188.1
		hells
		psmb7
		zfp36l2
		map7d2b
		pgbd4
		wwp1
		ENSDARG00000105068
		zgc:194989
		mxd3
		furinb
		capn2b
		ctns
		tcf7l2
		mrps21
		polr2eb
		etv4
		copb1
		fnip1
		mak16
		cops9
		slc2a3b
		ncapg
		zgc:171500
		tmem35
		xpc
		hsd3b7
		ccn2a
		tnfsf14
		zfand6
		dpp7
		rexo1
		ppfia4
		ubfd1
		pou3f3b
		cygb1
		phb2b
		nifk
		ano5b
		erfl3
		narf
		nop10
		adcy7
		smg6
		ptprfb
		en2b
		abi3bpb
		llgl2
		il1b
		raver2
		nr2f1a
		ephb3a
		nmt1a
		ptpn4a
		kmt2bb
		celf4
		smap1
		atp13a3
		dck
		march7.2
		kdm7aa
		hist1h2a6
		kif1b
		akirin2
		rnf144b
		nptx1l
		asah1b
		hspd1
		dip2ba
		ppp1r14bb
		hprt1l
		prkcdb
		si:ch73-347e22.4
		znrf2b
		si:dkey-280e21.3
		fgfr2
		mob2b
		plekhg2
		rbck1
		si:dkey-18p12.4
		lpl
		si:ch211-214j24.10
		krt15
		spice1
		mab21l1
		ube2z
		si:rp71-46j2.7
		zgc:158803
		frmd8
		si:ch73-119p20.1
		pcdh17
		zgc:64065
		spc24
		dyrk2
		cbx5
		rnf19a
		slc2a6
		foxo4
		cfap70
		zgc:158343
		rtn4r
		lef1
		nlk1
		rergla
		ywhabl
		tegt
		ftsj3
		megf8
		arid1aa
		timm9
		zgc:172139
		anp32b
		ifit10
		ndrg3a
		adgre5b.3.1
		mgat5
		ppt1
		gtf2f1
		wu:fc75a09
		dnajc12
		plekhj1
		gosr2
		arfgef1
		si:ch211-218c6.8
		si:ch211-217k17.12
		hic1l
		pcsk1nl
		si:ch1073-303k11.2
		pld7
		dlx3b
		ptgis
		il2rb
		si:dkey-178k16.1
		gbp3
		asxl1
		syne2b
		gpx4a
		cry3b
		si:dkey-16l2.20
		ptbp3
		prkacaa
		bbc3
		myo5b
		pomp
		helz2
		lsp1b
		pcna
		zic1
		ralab
		NCKAP1L
		gse1
		mapk11
		ubtf
		elovl6
		si:dkey-23i12.7
		bms1
		terfa
		nrf1
		lsm12a
		kcnma1a
		cant1b
		fis1
		lhx9
