Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
ddx27	cyp2ad3	rps28
nop16	acads	si:ch73-248e21.5
tmem70	gpat4	mtbl
ppid	s100b	trib3
ftr11	tmem177	mrps18b
timm9	zgc:163057	zgc:91910
dnph1	tmem106a	creb3l3l
mmp14b	zgc:86764	zgc:86598
si:dkey-85k7.12	krt4	pno1
btr26	mrpl58	syt11a
mrpl23	apof	atf4b
zgc:194627	ipo9	clk4a
aurkaip1	tmsb1	RASSF5
zgc:66313	rgrb	tp53inp1
UTP14C	zmpste24	nhp2
mrps25	fam49ba	si:ch211-195b13.1
tfap2c	gemin6	wipf1a
myo1b	si:ch211-51h9.7	glrx
pnp4a	zgc:173552.2	noc2l
nr4a2b	sra1	eef1da
tbx2a	nemp1	FBXO48
nfybb	slc7a10a	hnrnpabb
btbd10b	myca	grb2b
cx39.4	dusp23b	rbbp6
rpia	stard4	map7d1b
armc1l	rhag	cry1a
utp11	terfa	bach1b
nkain1	gtdc1	spint1a
sh3tc2	arhgap45b	reep3b
mapk12a	si:dkey-170l10.1	dusp5
psmd4b	ccdc51	psmb13a
opn5	cog4	csnk1da
fhl2a	mis18a	inka1b
cd9a	gab2	pcf11
pttg1	tmem39a	si:ch211-196f2.6
frmd8	glula	tnfrsf9a
mki67	hadhab	capza1a
ifit8	cxcl8a	ccng2
shmt1	mpdu1b	ctps1a
ahsa1b	blf	scarb2a
socs5b	atad5a	mhc2dab
rexo4	col6a2	bcl11ba
pde10a	irf2bpl	wipf1b
C20H12orf57	ccne2	arf6b
tp53i11b	tigarb	clic1
ruvbl1	hist2h3c	elavl3
pag1	arl6ip5a	sh3bgrl
ubfd1	f3a	nars1
rgs3a	camk2n1a	lgals3bpb
slc29a1a	cdk2	si:ch211-105j21.9
sdhaf3	slc44a2	oaz1a
cbx1a	alad	s100a10a
usp14	col1a2	sptb
noc4l	poglut1	ctsz
si:dkey-108k21.21	crip1	eif3f
lamb1b	tbl2	atf3
nacad	si:ch211-85n16.3	anxa11a
psip1b	asph	slc38a2
si:dkey-197i20.6	trip13	ly75
prim2	chid1	cyba
haus1	notch3	rasal3
eif3eb	TCIM	hmgb3b
cenpf	auh	cct7
znf1092	tusc3	rpl38
prxl2b	elovl6	plekho2
cfap70	smad3a	hopx
si:ch211-271g18.1	sla2	calm1a
anln	nlrc3	nop58
hnrnpc	igf2bp1	hbp1
MYO7B	zdhhc4	adipor2
si:ch73-367f21.4	ENSDARG00000096749	polr2k
kank3	fermt3a	cited4b
pclaf	wipf1a	rab8b
hells	ndrg4	fxyd1
si:ch211-197g15.7	cadm4	tmem59
tufm	tk1	lrrfip1a
ddx1	hist1h2a10.1	add2
